time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3,schur_t1,schur_t2,schur_t3,orig_semicircle_degen,orig_l1,orig_l2,orig_l3
1789535776.1740828,TIGHTLY_COUPLED,-3.14249751097744,-18.26368576570203,-42.18836765359804,0.17057875194254044,0.2208460416176832,-0.5149260639797719,-0.81054368415393,-27.09732651844085,25.83045885697439,-0.8949170746542471,97,-76.40035819198327,-97.67399058535017,-91.11972552572666,0,1,0.0654451744659708,0.18950165917328757,0.7450531663607423,0.3034271100845626,0.37327732138403263,0.8766960877100413,0,0.30347557723270324,0.3733540916523669,0.8766466199499737
1789535776.2329068,TIGHTLY_COUPLED,-3.1864921539775755,-18.254484141709078,-42.188229395180976,0.17063560432522154,0.22088320904351783,-0.5148854506951857,-0.8105473898308597,-27.11294248148782,25.833948095533433,-0.8951174207604673,101,-76.36144417415031,-97.65480426770843,-91.09904002630088,0,1,0.0654451744659708,0.18950165917328757,0.7450531663607423,0.29034348282917904,0.3837858068195615,0.8765894800090178,0,0.29036926430686305,0.38385594256832584,0.8765502299930524
1789535776.291791,TIGHTLY_COUPLED,-3.238106176003157,-18.24222992384179,-42.18849044030896,0.17063832389765785,0.22083765878637626,-0.5148954989783843,-0.8105528459088592,-27.137830972036344,25.839509196978035,-0.8954367322356244,100,-76.36144417415031,-97.65480426770843,-91.09904002630088,0,1,0.06328292758205166,0.1927256168567315,0.7439914555612168,0.31147545064706517,0.3921687565885637,0.8655557232206298,0,0.31152542433637886,0.392261976011872,0.8654954951744698
1789535776.3299186,TIGHTLY_COUPLED,-3.288655382252202,-18.230177831185483,-42.18853630112139,0.17073587954040567,0.22084050701326213,-0.5149393344812956,-0.8105036777853941,-27.149055390210467,25.842017195792547,-0.8955807354076486,100,-76.4019276235645,-97.67524442479746,-91.12389204533513,0,1,0.06328292758205166,0.1927256168567315,0.7439914555612168,0.30005132205893215,0.3859166391743425,0.872374662481131,0,0.30010393235498933,0.3860063726262593,0.872316863345533
1789535776.384192,TIGHTLY_COUPLED,-3.341848271213659,-18.21741840326055,-42.18891643661053,0.17066258505270512,0.22083518363923343,-0.5149672371978872,-0.8105028367272562,-27.17199259056577,25.847142351999636,-0.8958749792479562,100,-76.4019276235645,-97.67524442479746,-91.12389204533513,0,1,0.06328292758205166,0.1927256168567315,0.7439914555612168,0.31788022234284186,0.37928599680659897,0.8689616199060174,0,0.3179230126821289,0.37935232739357233,0.8689170096782539
1789535776.4376588,TIGHTLY_COUPLED,-3.384601480503957,-18.207538453822046,-42.18902227950413,0.1707298574000275,0.2208944720081845,-0.5149779193693145,-0.8104657245006994,-27.19737103189563,25.852813517973054,-0.8962005031275447,96,-76.4019276235645,-97.67524442479746,-91.12389204533513,0,1,0.06601482835328211,0.19310122904455065,0.7408839426021674,0.31016477976867457,0.3941474634571477,0.8651274972172288,0,0.3101995130664663,0.3942090901268727,0.8650869640415757
1789535776.4884412,TIGHTLY_COUPLED,-3.42859541205597,-18.196749522598207,-42.1893374052841,0.17068296040140055,0.22098268597312581,-0.5149812345540247,-0.8104494478904465,-27.211527074316237,25.8559779843918,-0.8963821067043044,96,-76.32333563695349,-97.63324614655961,-91.08121411350983,0,1,0.06601482835328211,0.19310122904455065,0.7408839426021674,0.309980290136391,0.39207900101216503,0.8661329440058618,0,0.31001640071239783,0.39214194480595005,0.8660915231158525
1789535776.542741,TIGHTLY_COUPLED,-3.489991113684303,-18.182796244757693,-42.18978123813273,0.17071305542886694,0.2210557363669227,-0.5150136665073245,-0.8104025773873751,-27.23691423749274,25.861656065192893,-0.8967083671372889,105,-76.32333563695349,-97.63324614655961,-91.08121411350983,0,1,0.07226755121040308,0.18504405795192175,0.7426883908376752,0.31775826105115307,0.3984171124583425,0.860403098573049,0,0.31781731588962286,0.39848505093582215,0.8603498229798102
1789535776.5896575,TIGHTLY_COUPLED,-3.5400478243100117,-18.17090997238795,-42.19016979193347,0.1707255582895869,0.22108475029623925,-0.5150302497615745,-0.8103814896477392,-27.251070358537152,25.864824239492755,-0.896890620998439,105,-76.32333563695349,-97.63324614655961,-91.08121411350983,0,1,0.07226755121040308,0.18504405795192175,0.7426883908376752,0.29560093147625705,0.3936171121367917,0.870451410673486,0,0.29563901517837404,0.3936612558250662,0.8704185133409059
1789535776.6416988,TIGHTLY_COUPLED,-3.5921042810430586,-18.15951942514168,-42.190930834095084,0.17069411430277115,0.22114369939734557,-0.5150175162071291,-0.8103801216460635,-27.27449488533293,25.870058971276663,-0.8971915347545153,105,-76.28016258000387,-97.60926557735587,-91.05824149369734,0,1,0.07226755121040308,0.18504405795192175,0.7426883908376752,0.2979927707472369,0.381077070930694,0.8752031618962921,0,0.29802595624069783,0.3811032804588162,0.8751804494104896
1789535776.6852005,TIGHTLY_COUPLED,-3.628158903236592,-18.15077464392647,-42.19135234074429,0.17071379506251658,0.2211730830111388,-0.5149338768814422,-0.8104211065653145,-27.294012345835192,25.874422213275416,-0.8974422377514775,103,-76.28016258000387,-97.60926557735587,-91.05824149369734,0,1,0.05838611661501028,0.1740524742105376,0.7675614091744523,0.29937811859176433,0.39414761941625354,0.8689190964738638,0,0.2994258212799529,0.39418487085089626,0.8688857606976235
1789535776.7253668,TIGHTLY_COUPLED,-3.689159987172786,-18.13778145749552,-42.19214431648686,0.17078038531422374,0.22119096688239406,-0.5149083099573789,-0.8104184403741025,-27.3042576014647,25.87671118295951,-0.8975735954715967,103,-76.2390935685863,-97.58918269074871,-91.03766772882449,0,1,0.05838611661501028,0.1740524742105376,0.7675614091744523,0.3028697056081539,0.3929564235276511,0.8682483461735977,0,0.3029188054677609,0.3929970265745894,0.8682128393415501
1789535776.7794075,TIGHTLY_COUPLED,-3.7333354058640107,-18.127327045458024,-42.19255201767154,0.1707431337666852,0.2212611079374448,-0.5149514494074209,-0.810379731446328,-27.33011496100963,25.882489396658304,-0.8979052989906219,125,-76.2390935685863,-97.58918269074871,-91.03766772882449,0,1,0.05838611661501028,0.1740524742105376,0.7675614091744523,0.2979517381916803,0.3737518959427751,0.8783702419752946,0,0.29798812769086086,0.37377855608220095,0.8783465527731069
1789535776.8247662,TIGHTLY_COUPLED,-3.7852005277188168,-18.117062487428957,-42.19346154836328,0.17068678382289065,0.221290738280409,-0.5149508149849144,-0.8103839146514952,-27.342799361243774,25.88532391135507,-0.8980679954624229,125,-76.19933676157582,-97.56761173548145,-91.01710427856214,0,1,0.0697290416152125,0.18486245975663645,0.7454084986281506,0.30899026713482913,0.3914841878193427,0.8667555281066147,0,0.3090113717076324,0.3914978088233035,0.8667418519039678
1789535776.8850737,TIGHTLY_COUPLED,-3.8284271868137054,-18.10717080399957,-42.193815819483774,0.1706493379370355,0.2212028782192065,-0.5150838998469244,-0.8103312077463597,-27.36572854962385,25.890447831026393,-0.8983620803273821,125,-76.19933676157582,-97.56761173548145,-91.01710427856214,0,1,0.0697290416152125,0.18486245975663645,0.7454084986281506,0.2942099680642437,0.38777488220963874,0.8735394298020768,0,0.29424407682846254,0.3878124761636254,0.8735112515492879
1789535776.991593,TIGHTLY_COUPLED,-3.8804109471296915,-18.09706061138732,-42.19462710080384,0.17059870691740683,0.2212619431366965,-0.5151405117698312,-0.8102897548722916,-27.402318184186555,25.898624557948466,-0.8988314022943554,119,-76.15992504051691,-97.5454823826083,-90.99658385923122,0,1,0.06778117184127604,0.18172031404506653,0.7504985141136575,0.30324542121006254,0.36885540243298326,0.8786284235165248,0,0.30330335610334314,0.3688724553826827,0.8786012666940558
1789535777.1032107,TIGHTLY_COUPLED,-3.9324705441781247,-18.08490431466871,-42.19516366114335,0.1706285426453318,0.22129250867145342,-0.5151363413211228,-0.8102777769943543,-27.445739869793506,25.908328091349706,-0.8993884481357239,117,-76.12361060881523,-97.5245265776025,-90.97794552363244,0,1,0.07054859946261535,0.20078412895839104,0.7286672715789936,0.3097351267336103,0.37099260652377675,0.8754591007991227,0,0.30974744629176565,0.3709978884490557,0.8754525037271137
1789535777.2300878,TIGHTLY_COUPLED,-3.9779842811533355,-18.07642744684737,-42.19577331782676,0.17066073230599374,0.22136301533941147,-0.5151625846027039,-0.8102350531259972,-27.499898309225294,25.920430960925685,-0.9000833051142303,116,-76.07986599063017,-97.50307204133985,-90.95435977487813,0,1,0.0639675095047507,0.19037930946943726,0.745653181025812,0.3202249783098768,0.38161889500598983,0.8670772642855111,0,0.32025421943464,0.38164455181540596,0.8670551718339079
