time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3,schur_t1,schur_t2,schur_t3,orig_semicircle_degen,orig_l1,orig_l2,orig_l3,Hl_00,Hl_01,Hl_02,Hl_03,Hl_04,Hl_05,Hl_10,Hl_11,Hl_12,Hl_13,Hl_14,Hl_15,Hl_20,Hl_21,Hl_22,Hl_23,Hl_24,Hl_25,Hl_30,Hl_31,Hl_32,Hl_33,Hl_34,Hl_35,Hl_40,Hl_41,Hl_42,Hl_43,Hl_44,Hl_45,Hl_50,Hl_51,Hl_52,Hl_53,Hl_54,Hl_55,Hv_00,Hv_01,Hv_02,Hv_03,Hv_04,Hv_05,Hv_10,Hv_11,Hv_12,Hv_13,Hv_14,Hv_15,Hv_20,Hv_21,Hv_22,Hv_23,Hv_24,Hv_25,Hv_30,Hv_31,Hv_32,Hv_33,Hv_34,Hv_35,Hv_40,Hv_41,Hv_42,Hv_43,Hv_44,Hv_45,Hv_50,Hv_51,Hv_52,Hv_53,Hv_54,Hv_55
1790101405.0533276,TIGHTLY_COUPLED,0.4813917650098662,0.41305020801681774,-0.22857299287858357,0.014514199799125082,-0.011970510260746667,0.3901569740378879,0.9205561256642028,0.6759586927811913,0.4896196497245058,-0.029978816493208146,133,,,,1,1,0.04020491745521185,0.286082745614962,0.6737123369298257,0.3507947275139205,0.6132363257132039,0.7077317768577329,0,0.3508218386860871,0.6129761392181536,0.707943705565718,46111.725465710224,-16072.332156752069,30608.09595966693,-647.5949165709536,-909.8708167526306,528.7378179900563,-16072.332156752069,47174.07205803723,16150.899764434693,1328.103150185545,385.0383669387029,-417.6341036479377,30608.09595966693,16150.899764434693,227025.44829480624,1360.4232688749642,-1464.2585204279728,262.55654963225004,-647.5949165709536,1328.103150185545,1360.4232688749642,163.34168165426462,42.9240656505748,-14.995492147534932,-909.8708167526306,385.0383669387029,-1464.2585204279728,42.9240656505748,152.01007978891846,-2.8296317581806507,528.7378179900563,-417.6341036479377,262.55654963225004,-14.995492147534932,-2.8296317581806507,186.95206763730792,634423450.6156225,43751.40196878325,-22378.830613784732,4391872.975164376,3290472.1609309143,777786.1981767081,43751.40196878325,634407468.5184162,17972.147110040092,-3961211.602056667,3940367.387499419,438829.4523631129,-22378.830613784732,17972.147110040092,634484267.3554713,-665137.8361247643,67213.29874527079,-52696.987942056985,4391872.975164376,-3961211.602056667,-665137.8361247643,241810623.84460592,411578.9418806727,-238913.76168021403,3290472.1609309143,3940367.387499419,67213.29874527079,411578.9418806727,241427925.08847842,-4113509.664561732,777786.1981767081,438829.4523631129,-52696.987942056985,-238913.76168021403,-4113509.664561732,243250942.19559088
1790101405.1817596,TIGHTLY_COUPLED,0.4813597047926095,0.41250180868202296,-0.22926955333940202,0.014456022549873977,-0.011997022718250412,0.39013824693989646,0.9205646327839234,0.6759559874464871,0.4896166154826529,-0.02997866963931395,133,0.4813917650098662,0.41305020801681774,-0.22857299287858357,1,1,0.042384478254581456,0.32224525237455126,0.6353702693708674,0.35098605762103147,0.6138168683009712,0.7071333958630678,0,0.35101456409917536,0.6135485317042297,0.707352087035763,45580.99113143871,-16347.989229369343,30544.337325977267,-648.8123564074742,-926.9177865389438,553.8575072491112,-16347.989229369343,46653.94536004109,16215.277511617114,1320.814271074864,388.63687621724773,-373.5006132573492,30544.337325977267,16215.277511617114,227331.53824107716,1371.0448816824626,-1453.4866651508696,260.1754801902267,-648.8123564074742,1320.814271074864,1371.0448816824626,163.18341952560803,43.14648332712219,-14.459037385997245,-926.9177865389438,388.63687621724773,-1453.4866651508696,43.14648332712219,151.52793132645553,-2.483021425809125,553.8575072491112,-373.5006132573492,260.1754801902267,-14.459037385997245,-2.483021425809125,185.2886491479364,871615976.276762,43945.276807576156,-22585.81206160973,5131544.923124798,3931776.894749419,813908.9717245705,43945.276807576156,871599849.6289546,18121.63933377637,-4602037.9425688395,4681663.4317488475,425107.39993069915,-22585.81206160973,18121.63933377637,871679939.5870537,-669188.5647139952,70184.58967881705,-52797.51308615788,5131544.923124798,-4602037.9425688395,-669188.5647139952,268152563.2051158,410171.3518289182,-237864.27381406896,3931776.894749419,4681663.4317488475,70184.58967881705,410171.3518289182,267668667.63273874,-4089397.022675891,813908.9717245705,425107.39993069915,-52797.51308615788,-237864.27381406896,-4089397.022675891,269598313.8277033
1790101405.3037257,TIGHTLY_COUPLED,0.4815958692676352,0.41314905949529523,-0.22932182142523452,0.014574374975967587,-0.011938825153022472,0.39013347363691264,0.9205655461704082,0.6759534204400085,0.48961373638647265,-0.02997853029477996,133,0.4763800971083825,0.4147615066655141,-0.22880366569387853,1,1,0.0401305167910064,0.30751161307311725,0.6523578701358764,0.3504375636258869,0.6146874609043532,0.7066490213726414,0,0.3504654963730933,0.6144021096274074,0.7068832884835746,45760.17018594679,-16090.528419714092,30809.03661838786,-657.7184508837012,-934.2064959793981,533.7721074404315,-16090.528419714092,46295.26155652389,15974.48191374687,1331.6232882805307,391.5593519745604,-415.6216325472574,30809.03661838786,15974.48191374687,227256.50028459053,1350.2389817600829,-1471.4741149198821,266.15909890914077,-657.7184508837012,1331.6232882805307,1350.2389817600829,164.66436442646906,44.30129747392207,-13.790406771301427,-934.2064959793981,391.5593519745604,-1471.4741149198821,44.30129747392207,153.01258307215556,-2.7252488072841325,533.7721074404315,-415.6216325472574,266.15909890914077,-13.790406771301427,-2.7252488072841325,185.84407444013198,356221865.1602564,44554.05286932472,-22417.141080618952,3620056.930700304,2607900.440096887,749191.503622165,44554.05286932472,356204986.0409747,18016.977627690467,-3298543.018581598,3161285.743853239,456765.69072402583,-22417.141080618952,18016.977627690467,356278024.7567166,-668460.0794181295,67639.10192765715,-52801.92436084409,3620056.930700304,-3298543.018581598,-668460.0794181295,200615577.39689493,450369.88974864833,-251724.34061644372,2607900.440096887,3161285.743853239,67639.10192765715,450369.88974864833,200381693.6055475,-4206315.619650407,749191.503622165,456765.69072402583,-52801.92436084409,-251724.34061644372,-4206315.619650407,202020657.3393114
1790101405.4196496,TIGHTLY_COUPLED,0.48232487290189335,0.41402495680514245,-0.22931703049909416,0.014493131007631173,-0.011907033548387902,0.3901785546610101,0.9205481340963755,0.6759508285195261,0.489610829347195,-0.029978389598312262,132,0.4716517838234357,0.4167124339034713,-0.2293745629422025,1,1,0.03468249822069851,0.30897701595943244,0.6563404858198685,0.3450503317750235,0.6178199637820393,0.7065682988178184,0,0.34507670313976146,0.6175704907337113,0.7067734841695152,46530.4279749736,-16342.607411768873,30462.126667669298,-657.4030272203652,-923.4798612101768,471.02273425743226,-16342.607411768873,46914.27909161405,16293.751888022874,1336.3861345631476,392.013840206217,-399.11298726308223,30462.126667669298,16293.751888022874,227343.6116786128,1364.916479687383,-1457.9601362116468,265.38918701414815,-657.4030272203652,1336.3861345631476,1364.916479687383,165.3562584703274,44.77261143481246,-15.049483309952565,-923.4798612101768,392.013840206217,-1457.9601362116468,44.77261143481246,152.30595774372176,-3.5053002847578036,471.02273425743226,-399.11298726308223,265.38918701414815,-15.049483309952565,-3.5053002847578036,187.9715696246732,537266790.7546806,44270.86547627484,-22402.824099166482,4412464.329888863,3304352.8504890306,780676.7174820602,44270.86547627484,537249986.1848589,17999.72402904762,-3990864.2459257892,3957100.003472966,437936.63098606555,-22402.824099166482,17999.72402904762,537326159.426767,-665497.9824095145,68131.2643879397,-52527.283204429,4412464.329888863,-3990864.2459257892,-665497.9824095145,229176805.2995992,456575.17498310347,-249745.1095274115,3304352.8504890306,3957100.003472966,68131.2643879397,456575.17498310347,228929144.24654678,-4192182.6428267276,780676.7174820602,437936.63098606555,-52527.283204429,-249745.1095274115,-4192182.6428267276,230595174.7107173
1790101405.5381727,TIGHTLY_COUPLED,0.4828563167802471,0.41431954839851065,-0.22948116219280937,0.014521461900735786,-0.011845633630812062,0.3901235711461209,0.9205717828308382,0.6759484921024338,0.48960820887462775,-0.02997826277166423,133,0.4671520862480609,0.4164455472814509,-0.2302613690228975,1,1,0.04232945972937773,0.2689880082981714,0.6886825319724513,0.34942648854039887,0.6253466148821251,0.6977411700349878,0,0.3494505601163386,0.6250972040307716,0.6979525711302231,46279.6739668916,-16619.068620986473,30584.375072876053,-647.1375142293031,-915.2262440812469,511.6744973029633,-16619.068620986473,46193.00250072485,16277.05767886234,1316.0647309617514,384.28401385737413,-402.33947181911475,30584.375072876053,16277.05767886234,227992.4463856502,1367.9080783375807,-1451.988103691978,262.8535003719291,-647.1375142293031,1316.0647309617514,1367.9080783375807,164.49193523536374,44.591567354922105,-14.383352340044933,-915.2262440812469,384.28401385737413,-1451.988103691978,44.591567354922105,154.0344894216994,-4.60592697622264,511.6744973029633,-402.33947181911475,262.8535003719291,-14.383352340044933,-4.60592697622264,185.5176558849319,619909149.7457174,44036.80321529537,-22640.0801992579,4653125.429391212,3522176.098001479,794822.1755917203,44036.80321529537,619892729.2783437,18216.005008646935,-4193823.1185132135,4203707.901225272,436732.51262496656,-22640.0801992579,18216.005008646935,619969819.0035932,-672607.7080083794,67740.41229000647,-53026.54906044153,4653125.429391212,-4193823.1185132135,-672607.7080083794,240138536.05038384,402779.1712651086,-234748.4726183744,3522176.098001479,4203707.901225272,67740.41229000647,402779.1712651086,239599702.77819923,-4080986.3599614124,794822.1755917203,436732.51262496656,-53026.54906044153,-234748.4726183744,-4080986.3599614124,241560593.79766032
1790101405.6486914,TIGHTLY_COUPLED,0.48292078807244965,0.41379703349180635,-0.22890365890679867,0.014614702081880763,-0.011840433405298995,0.3901529871293119,0.9205579076048978,0.6759460842547145,0.48960550828698435,-0.02997813206797903,133,0.4671520862480609,0.4164455472814509,-0.2302613690228975,1,1,0.028547244073848784,0.30593207656544735,0.6655206793607037,0.35076176164257233,0.6208922707449238,0.7010413502059714,0,0.35078826680572156,0.620623510274288,0.7012660339459331,45351.105005335805,-16316.128730872571,30633.49001162361,-657.7827760803447,-907.2871283129844,533.0516796965198,-16316.128730872571,47495.223161865186,16073.671517650091,1334.177958552314,375.54976945248336,-398.6849114158049,30633.49001162361,16073.671517650091,227066.5298310061,1377.255369775518,-1450.4131527172585,282.23300662786113,-657.7827760803447,1334.177958552314,1377.255369775518,164.34703880969323,43.971866908771375,-14.366991032075564,-907.2871283129844,375.54976945248336,-1450.4131527172585,43.971866908771375,153.91300337252255,-2.6651895447413647,533.0516796965198,-398.6849114158049,282.23300662786113,-14.366991032075564,-2.6651895447413647,184.81074746997174,602396444.1853681,43831.25593571752,-22428.66922011773,4601007.886878721,3476967.061985065,788909.5777871382,43831.25593571752,602380142.400722,18037.93330427439,-4148858.9501190116,4151646.0151030747,433406.4996001329,-22428.66922011773,18037.93330427439,602456768.3338648,-667410.6815738064,67683.80485730809,-52708.15337302309,4601007.886878721,-4148858.9501190116,-667410.6815738064,237921612.7994131,413112.2090993088,-234060.82546178196,3476967.061985065,4151646.0151030747,67683.80485730809,413112.2090993088,237466107.45269918,-4096705.5698496,788909.5777871382,433406.4996001329,-52708.15337302309,-234060.82546178196,-4096705.5698496,239341762.52943534
1790101405.782214,TIGHTLY_COUPLED,0.4837828290457476,0.4142492998489112,-0.22851988873227544,0.014566899318975375,-0.0117437835542049,0.39014132740224405,0.9205648448886574,0.675943253887804,0.4896023338112232,-0.029977978429464723,133,0.46843170599682027,0.41574388410736574,-0.23155204257418893,1,1,0.03380952246137601,0.31120385444227744,0.6549866230963466,0.34668258999021523,0.6247146350033703,0.6996733570819187,0,0.34671257802873684,0.6244406525563673,0.6999030359068641,45650.558240435945,-16503.95916624356,30776.92086507873,-658.5343767583728,-923.9683466272654,553.0173718696992,-16503.95916624356,47505.09156144225,15900.308080498078,1341.9245316352958,387.9636748109069,-434.53844615369366,30776.92086507873,15900.308080498078,227406.88000037323,1351.3917865405917,-1488.7175581994766,270.570701947466,-658.5343767583728,1341.9245316352958,1351.3917865405917,165.03826481835003,45.41645838312892,-15.255055958620979,-923.9683466272654,387.9636748109069,-1488.7175581994766,45.41645838312892,154.3639741313089,-3.8429893382219813,553.0173718696992,-434.53844615369366,270.570701947466,-15.255055958620979,-3.8429893382219813,185.82129830155563,707526120.7149427,44152.5210271275,-22541.426552799203,4769008.18838033,3599470.1028383533,798716.7407939092,44152.5210271275,707510013.016159,18041.828945132926,-4280298.495431337,4313246.280174599,432497.21251374634,-22541.426552799203,18041.828945132926,707588299.6253202,-669426.4660244968,70860.94806242397,-52676.947265803625,4769008.18838033,-4280298.495431337,-669426.4660244968,250633647.31502777,443552.7466701205,-245496.09751979235,3599470.1028383533,4313246.280174599,70860.94806242397,443552.7466701205,250328084.2625701,-4164504.714627114,798716.7407939092,432497.21251374634,-52676.947265803625,-245496.09751979235,-4164504.714627114,252078713.6672341
1790101405.908346,TIGHTLY_COUPLED,0.4838245155556119,0.41386071651309486,-0.22834470681557323,0.01461697674233694,-0.011697890990386407,0.39013268141175755,0.9205682996018075,0.6759406089689399,0.48959936732968357,-0.02997783485797703,133,0.46616081148867655,0.4154687074441802,-0.23172347825058923,1,1,0.046712099593566724,0.3116041980862964,0.6416837023201365,0.3487993984857785,0.6121206931581445,0.7096810809254758,0,0.3488227515531847,0.6118662946243847,0.7098889529366483,45654.194081817244,-16279.045886140819,30846.43821550679,-638.44881276468,-914.3210048832814,558.0247570551294,-16279.045886140819,46991.150205160135,16047.718910432883,1328.8685705982837,367.32828577897214,-400.94137680800225,30846.43821550679,16047.718910432883,226981.40310764415,1326.8767820220553,-1506.121567034377,271.12052698570767,-638.44881276468,1328.8685705982837,1326.8767820220553,162.21015420747614,42.181736130374084,-15.524167101676257,-914.3210048832814,367.32828577897214,-1506.121567034377,42.181736130374084,150.5202008423581,-2.6039793144138024,558.0247570551294,-400.94137680800225,271.12052698570767,-15.524167101676257,-2.6039793144138024,186.35040078382198,667022467.8071792,43418.1120011778,-22626.206548116825,4781701.705293936,3629247.6092543574,794787.942214622,43418.1120011778,667007179.6635609,18153.093692377315,-4286408.643282889,4334390.069140561,429677.68721821124,-22626.206548116825,18153.093692377315,667083964.6768433,-667929.8727965076,67066.81937188756,-52989.698681790724,4781701.705293936,-4286408.643282889,-667929.8727965076,245954877.5841512,372743.73332023504,-221350.18512407664,3629247.6092543574,4334390.069140561,67066.81937188756,372743.73332023504,245341615.21683726,-4026125.986465075,794787.942214622,429677.68721821124,-52989.698681790724,-221350.18512407664,-4026125.986465075,247384138.73169163
1790101406.0318208,TIGHTLY_COUPLED,0.48400996683119607,0.4138647199861866,-0.22823753940139604,0.01460387067491515,-0.011640403936167441,0.39010507572912256,0.920580934979586,0.6759381029932909,0.4895965566836142,-0.029977698829049076,132,0.46470129966899953,0.4155866671947825,-0.23213488616221026,1,1,0.03830936129474887,0.30214232820664344,0.6595483104986077,0.3466994144836401,0.6191044212876584,0.704634111818875,0,0.34672464719803536,0.6188454030326331,0.7048491939207817,46409.85322526249,-16701.904449131744,30554.12659722693,-662.4181891957998,-925.775785056125,521.975423566886,-16701.904449131744,47149.542210100015,16181.097273569136,1338.5226736446186,392.89929561374186,-410.23677779251585,30554.12659722693,16181.097273569136,227341.58081534016,1351.223098904569,-1457.1621685479874,269.5188935820577,-662.4181891957998,1338.5226736446186,1351.223098904569,164.9967458672457,44.93881592033783,-14.826645330300037,-925.775785056125,392.89929561374186,-1457.1621685479874,44.93881592033783,153.99807869944172,-3.4702823328151466,521.975423566886,-410.23677779251585,269.5188935820577,-14.826645330300037,-3.4702823328151466,188.09003285851728,674463161.3038762,43732.51105935511,-22531.458609737616,4793704.358838115,3630073.8728196532,797995.7763835699,43732.51105935511,674447653.3882614,18066.752172385673,-4297337.568587231,4342078.877277023,431281.0312627783,-22531.458609737616,18066.752172385673,674524978.9207573,-670523.273604766,68154.28597408411,-53000.417778633724,4793704.358838115,-4297337.568587231,-670523.273604766,246856504.56723094,404246.54743237625,-231208.74356285325,3630073.8728196532,4342078.877277023,68154.28597408411,404246.54743237625,246397442.69081888,-4088646.136283569,797995.7763835699,431281.0312627783,-53000.417778633724,-231208.74356285325,-4088646.136283569,248288323.71844354
1790101406.1546812,TIGHTLY_COUPLED,0.48398591982911204,0.41345499396056984,-0.2279896289485441,0.014710121529980887,-0.011559658279801483,0.390103730401668,0.9205808308626301,0.6759355721263802,0.48959371811994906,-0.029977561449414616,133,0.46551009728790216,0.41518445388657854,-0.2330207225063521,1,1,0.04205698171973853,0.3065790333384223,0.6513639849418394,0.34716628130120697,0.6128997423421504,0.7098094666630032,0,0.3471852525712926,0.6126523487134439,0.7100137322706572,46217.40986658434,-16250.649061098102,30513.2479911231,-648.579083523286,-907.3924488694784,516.3007702147041,-16250.649061098102,46046.60412203305,16255.606752808088,1316.9131333726932,370.42198144024246,-374.40443749696254,30513.2479911231,16255.606752808088,226758.13185481998,1366.846458987626,-1459.329503500799,278.15710208304364,-648.579083523286,1316.9131333726932,1366.846458987626,161.9627055966129,42.64135189614696,-14.52181903708599,-907.3924488694784,370.42198144024246,-1459.329503500799,42.64135189614696,151.3206427275322,-2.8112266235270584,516.3007702147041,-374.40443749696254,278.15710208304364,-14.52181903708599,-2.8112266235270584,186.6938807641772,602395897.387445,43708.19547442005,-22463.90797236871,4605547.19357299,3476667.965251156,786893.5996139476,43708.19547442005,602380304.2630368,18055.879291689474,-4141037.4132186635,4155599.5247830776,431217.0211462291,-22463.90797236871,18055.879291689474,602456548.3669821,-667246.5110772697,66403.70510581785,-53021.865774387836,4605547.19357299,-4141037.4132186635,-667246.5110772697,237905169.9973394,391230.8868543902,-226193.32298388256,3476667.965251156,4155599.5247830776,66403.70510581785,391230.8868543902,237393543.4721054,-4061685.1884897146,786893.5996139476,431217.0211462291,-53021.865774387836,-226193.32298388256,-4061685.1884897146,239322604.98444682
