time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z
1789314072.4957645,LIDAR_ONLY,1.0842529326309818,-1.0014021193994074,-1.2296938030951543,-0.04963378743202776,-0.027995430499036647,-0.26320998180608124,-0.9630541254228489,0.6344074705830616,-0.507014451639794,0.003484642653976619,100,,,
1789314072.6126254,LIDAR_ONLY,1.0842597283970068,-1.0003005697452703,-1.2309971278224452,-0.04962929167758828,-0.02809625643055543,-0.26319868895127096,-0.9630545072406346,0.6344073935977836,-0.5069398237510845,0.003482025587625878,99,,,
1789314072.7415226,LIDAR_ONLY,1.0848062212734673,-1.0008617088455058,-1.232295254367909,-0.049749358422434206,-0.02817423092538592,-0.26323902465789745,-0.963035009719521,0.6344041500773508,-0.5068557235794846,0.003479801476937869,103,1.0864863373702827,-0.9950427304926981,-1.2305245464309085
1789314072.8295953,LIDAR_ONLY,1.0844052828638826,-0.9997530463485131,-1.2320928698667273,-0.04973748115034826,-0.028223083812337187,-0.2632202162989935,-0.9630393336933085,0.634404826026908,-0.5068003726046961,0.0034787020941343394,103,1.0864863373702827,-0.9950427304926981,-1.2305245464309085
1789314072.9457595,LIDAR_ONLY,1.0829327673542697,-1.0000785994874553,-1.2332243860273726,-0.04968611219489012,-0.028356509633786352,-0.2632097605675415,-0.9630409236155665,0.6344034363342353,-0.5067292251035753,0.0034765625043873677,103,1.0842716469928095,-0.991516172821302,-1.2310121426657241
1789314073.056259,LIDAR_ONLY,1.083482196706336,-1.0017332683127178,-1.2341985015785797,-0.04974693283103867,-0.02833305487664909,-0.2632596607038776,-0.96302483442606,0.6344009943495457,-0.5066580265000923,0.003474411010750203,103,1.0814945703427952,-0.9898593904013048,-1.23108311154276
1789314073.1676984,LIDAR_ONLY,1.084075427544645,-1.0008857043227262,-1.234598157821995,-0.04973397947951738,-0.028306152297874244,-0.2632591505767282,-0.9630264340426177,0.6343996721160099,-0.5065879375443849,0.003472593292240894,101,1.081213007341912,-0.9917870601889636,-1.2322504393211025
1789314073.277924,LIDAR_ONLY,1.0855170560448977,-1.002059464774243,-1.2350624850015617,-0.04972728772989319,-0.02833486284512712,-0.26328334743984344,-0.9630193203479601,0.6343977370257932,-0.5065176447255818,0.0034714750120454496,101,1.0769310651465251,-0.9904393127709675,-1.2325957113148986
1789314073.3842235,LIDAR_ONLY,1.0846725214739361,-1.003071191110727,-1.2363985521340217,-0.049760282092165486,-0.028361240922034212,-0.26329858743941026,-0.9630126729134367,0.6343973175639888,-0.5064458550234349,0.0034699205391618,103,1.0748000150045016,-0.9894661083769499,-1.2323384747236457
1789314073.5024972,LIDAR_ONLY,1.0837305411296445,-1.0023075714463425,-1.237167329486578,-0.04980475935068161,-0.028461561085311164,-0.26330016043480753,-0.9630069838799782,0.6343959920014131,-0.5063758772059984,0.003468105365030588,103,1.0734411576939449,-0.9891733010945511,-1.2328620401207553
1789314073.6076221,LIDAR_ONLY,1.084451923588183,-0.9989410046759608,-1.2373562563771439,-0.04994981074341105,-0.028421155021099685,-0.26328289747529354,-0.9630053843312498,0.6343954401202268,-0.5063036396261024,0.0034658170078723932,104,1.0730731859214708,-0.9900967528675428,-1.2335570470397577
1789314073.7148397,LIDAR_ONLY,1.0841023683430087,-0.9988013915260806,-1.2379628581347317,-0.04998123084917689,-0.028489215579335543,-0.263284526597072,-0.963001297617522,0.6343938116396927,-0.5062348687580938,0.0034642721852281705,105,1.0741286803184555,-0.9945521077098709,-1.234710450814727
