time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3
1789532410.9152498,TIGHTLY_COUPLED,0.2536151329497543,1.0103659531995397,-0.5991818692829084,0.0351059965039498,-0.02976469666895772,0.44949648959377264,0.892095587750856,0.6962307553307203,0.5286008536326572,-0.03162539736963052,102,,,,1,1,0.04692431804502423,0.30106919684402533,0.652006485110951
1789532411.0119555,TIGHTLY_COUPLED,0.25364416424744407,1.0105585926462703,-0.598953006309633,0.035134592468761744,-0.029793390644620426,0.4494952856757384,0.8920941107535895,0.696233166704828,0.5286043003847893,-0.03162555315214134,102,0.2536151329497543,1.0103659531995397,-0.5991818692829084,1,1,0.054624171271140096,0.28236030295993086,0.6630155257689291
1789532411.1180322,TIGHTLY_COUPLED,0.2541859195512712,1.010685870862815,-0.5991096879252887,0.03510822100459641,-0.029772278799121258,0.449461099002175,0.8921130784361123,0.6962357679132519,0.5286080184809403,-0.03162572119860944,102,0.25566924435540456,1.0079952892403845,-0.5991773155451511,1,1,0.04096031545403563,0.3335957479732325,0.6254439365727319
1789532411.2083073,TIGHTLY_COUPLED,0.2532120665230851,1.0102223745937726,-0.5986980581602289,0.03514173483770566,-0.02976761633355799,0.4495199817529574,0.8920822459253606,0.6962379086276992,0.528611078359636,-0.03162585949571837,102,0.25566924435540456,1.0079952892403845,-0.5991773155451511,1,1,0.04758078955340003,0.28405372790195493,0.6683654825446447
1789532411.3105273,TIGHTLY_COUPLED,0.25327521718673607,1.010220580828568,-0.5990455533432552,0.03509927188937135,-0.029714960683486058,0.4495045232931579,0.892093462459739,0.6962404017670648,0.5286146419849149,-0.03162602056066696,102,0.26415668937931286,1.0071765628653482,-0.5986470202616834,1,1,0.05298217683587003,0.3062715549855561,0.6407462681785735
1789532411.4533055,TIGHTLY_COUPLED,0.25284291948579996,1.0096072761737929,-0.599098741908935,0.035107161962521616,-0.029745804419083675,0.44955429122850943,0.8920670454267613,0.6962440062749303,0.528619794170032,-0.03162625342373657,102,0.2685786322887337,1.0079803062996442,-0.5972059955727234,1,1,0.04320780624363729,0.30542661280011596,0.651365580956246
1789532411.5303023,TIGHTLY_COUPLED,0.2537855450350548,1.011097363331314,-0.598387692812341,0.0351583073891314,-0.02975631556912608,0.4494566582567011,0.8921138758331253,0.6962457951077109,0.528622351078795,-0.0316263689882578,102,0.2685786322887337,1.0079803062996442,-0.5972059955727234,1,1,0.0370275848879516,0.34845030379547526,0.6145221113165729
1789532411.6455095,TIGHTLY_COUPLED,0.25390474263432555,1.0101363370490195,-0.599482299988135,0.03508212702408855,-0.02976905096862826,0.4494931971030533,0.8920980404226705,0.6962486682614071,0.5286264578863331,-0.031626554603552376,102,0.26968746139458016,1.0092205814031625,-0.5966161744909028,1,1,0.06286051475008882,0.30229705355462944,0.6348424316952812
1789532411.7541587,TIGHTLY_COUPLED,0.2539024516151437,1.0106301468012406,-0.5989500517055718,0.03511441191671714,-0.029754396531938978,0.4494698315677732,0.8921090317182093,0.6962514332033682,0.5286304100190198,-0.03162673322806802,102,0.26943691363643607,1.0097029219531792,-0.5969210523830301,1,1,0.03848695032464635,0.296734159717771,0.6647788899575826
1789532411.8520532,TIGHTLY_COUPLED,0.25319613222970405,1.0101851459701578,-0.5987933285199916,0.035121501541902134,-0.029731839224150396,0.4495141592399572,0.8920871697926083,0.6962538188082303,0.5286338199376375,-0.031626887346182776,102,0.2694266725973771,1.010710085501298,-0.5965552651814087,1,1,0.03324484429381385,0.2786706118603333,0.6880845438458529
1789532411.9612927,TIGHTLY_COUPLED,0.25264817951195523,1.0096069388470728,-0.5988551106289945,0.035127951715814856,-0.029753027306572217,0.4495656509210959,0.8920602613535911,0.696256557019966,0.5286377338629654,-0.03162706424394327,102,0.26969759078545363,1.0116573083626306,-0.5969596521510246,1,1,0.05240929030313091,0.31510425927976543,0.6324864504171039
1789532412.067514,TIGHTLY_COUPLED,0.2540402263996227,1.0108752675749115,-0.5989025629265327,0.03512688948206742,-0.02977863302933049,0.4494623302886849,0.8921115111361833,0.6962592412045541,0.5286415705634072,-0.031627237651421856,102,0.26649118525652654,1.0141358376952954,-0.597113586887452,1,1,0.045138074081256106,0.30273232100911834,0.6521296049096251
1789532412.1757174,TIGHTLY_COUPLED,0.25357139609193274,1.0101132470002832,-0.5995594150806955,0.035076430188245813,-0.02975736097800666,0.44950912250798664,0.8920906300903366,0.6962619526978551,0.5286454462982293,-0.031627412823191536,102,0.26768781671949976,1.0141691513378108,-0.5970472327845765,1,1,0.043633956260507256,0.2837166693744708,0.6726493743650221
1789532412.2851973,TIGHTLY_COUPLED,0.2530884952122457,1.009399762146673,-0.5999486499746479,0.0350556201639955,-0.0297689087405566,0.44956154266306203,0.892064647279401,0.6962646915056552,0.528649361075703,-0.031627589759627504,102,0.26762163107298764,1.015808344751306,-0.5964770518178075,1,1,0.055652807198271134,0.3069921236136162,0.6373550691881119
1789532412.3921907,TIGHTLY_COUPLED,0.25450106059168265,1.0109691590966168,-0.5993265917518962,0.03510517979939433,-0.029805097922078888,0.4494466732949804,0.8921193700134431,0.6962673762741661,0.528653198610933,-0.03162776320499339,102,0.26891192157485067,1.0173525340599896,-0.5968345245656976,1,1,0.048153183597529646,0.32333863510500793,0.6285081812974621
1789532412.5028808,TIGHTLY_COUPLED,0.2530935424806696,1.0100668709953933,-0.5988604864453922,0.035130300856709984,-0.02976779622362979,0.44953250647053267,0.8920763789586774,0.6962701697224661,0.5286571914901534,-0.0316279436715079,102,0.27026612315240794,1.0179067190635291,-0.5968705092710581,1,1,0.044785567827203304,0.2686617841750473,0.6865526479977493
1789532412.6090117,TIGHTLY_COUPLED,0.2534709072876018,1.00997999251965,-0.5994177287104541,0.03507729113867291,-0.029741797658174557,0.44951426932859645,0.8920885218342466,0.6962728548835843,0.5286610295866615,-0.03162811714234688,102,0.2724116139148694,1.0193141522971982,-0.5965071220825829,1,1,0.058072572432201666,0.2852448744046387,0.6566825531631599
1789532412.715388,TIGHTLY_COUPLED,0.25310192313999547,1.0100532180565538,-0.598955907656886,0.03511941446791893,-0.029758929086472406,0.4495315052843653,0.8920776079601088,0.696275513111211,0.5286648291852135,-0.03162828887324023,102,0.2695109958828591,1.020486219964956,-0.5969800073699046,1,1,0.05270047277142452,0.2981551712087786,0.6491443560197965
1789532412.8244185,TIGHTLY_COUPLED,0.2532785070258367,1.0102109485583122,-0.5988813220493497,0.0351232855609959,-0.029759677292187,0.44951777143066196,0.8920843511612996,0.6962782529101679,0.528668745379662,-0.031628465873984074,102,0.2721363706686072,1.0207786364159432,-0.596883188546039,1,1,0.06162406833649843,0.28237555499744543,0.6560003766660565
