time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3
1789449249.8755574,TIGHTLY_COUPLED,0.5759550706953996,0.6682694591986068,-0.28659826332012045,0.018720073919561948,-0.022575479722846303,0.44010390385482046,0.8974678046367326,0.6890025721258566,0.5264852051047877,-0.03143529863714553,101,,,,1,1,0.04899336224230099,0.2919940729437432,0.6590125648139553
1789449249.9873366,TIGHTLY_COUPLED,0.5751706687040317,0.6676334700936348,-0.2866567308591876,0.018701595229713576,-0.022518278676311322,0.4401614137193356,0.8974414227869782,0.6890051310749197,0.5264888748298693,-0.03143546430265733,101,0.5759550706953996,0.6682694591986068,-0.28659826332012045,1,1,0.03849019772287329,0.29802403327417554,0.6634857690029514
1789449250.09757,TIGHTLY_COUPLED,0.5749430395040734,0.66737310164327,-0.28676119674879075,0.018699899293747827,-0.022530502171135808,0.4401825333149765,0.8974307926535227,0.6890076903478594,0.5264925450200237,-0.03143562998941375,101,0.5783759899357792,0.6670839041668787,-0.28651943651920414,1,1,0.04156904725041486,0.2788010594850415,0.6796298932645437
1789449250.1900518,TIGHTLY_COUPLED,0.575403365101298,0.6679389577334823,-0.2865840163001363,0.01870290512190188,-0.02250720822536974,0.4401385958257964,0.8974528641563285,0.6890098403869921,0.5264956283385448,-0.03143576918267857,101,0.5779730434206954,0.6677780354634604,-0.2856420603661966,1,1,0.03779395104980249,0.33015341831293393,0.6320526306372632
1789449250.2994347,TIGHTLY_COUPLED,0.575617105830823,0.6677631134822535,-0.28711692803321437,0.01867841231357448,-0.022552593474211395,0.4401403397952646,0.8974513795888555,0.6890124002543344,0.5264992993822315,-0.031435934908423536,101,0.5824132503483038,0.6668844922624939,-0.2856394593354008,1,1,0.049017411392346305,0.2700140237935855,0.6809685648140682
1789449250.4100575,TIGHTLY_COUPLED,0.5755008179607298,0.6682268149108214,-0.2862274092764308,0.018718814976949785,-0.02248269988713848,0.44012201135536944,0.8974612801074751,0.6890149604438943,0.5265029708886036,-0.03143610065530298,101,0.5844336703539763,0.6671551242036142,-0.28587594561204116,1,1,0.04805048962373324,0.2927651480674198,0.6591843623088471
1789449250.4955742,TIGHTLY_COUPLED,0.5748861147354807,0.6675775866023456,-0.28628931510628586,0.018722833377446176,-0.022498826344947428,0.440176259068997,0.8974341865983508,0.6890168807971698,0.5265057248215168,-0.03143622497930885,101,0.5844336703539763,0.6671551242036142,-0.28587594561204116,1,1,0.05053034408446713,0.3338867589111808,0.6155828970043521
1789449250.626336,TIGHTLY_COUPLED,0.5756269185948893,0.667828801834315,-0.2870278026674849,0.018675992889254953,-0.02252797743831023,0.44013704011492033,0.8974536664591752,0.6890200561774351,0.5265102785594931,-0.031436430554316795,101,0.583535993709188,0.6689973581372245,-0.28585695333563604,1,1,0.05985819598893946,0.2970593520027643,0.6430824520082961
1789449250.7151556,TIGHTLY_COUPLED,0.5753099652181534,0.6676011742870872,-0.28687967269699316,0.01869123016915827,-0.02253593006770586,0.4401604437734596,0.8974416713680607,0.6890221050714507,0.5265132168305817,-0.03143656320051079,101,0.583535993709188,0.6689973581372245,-0.28585695333563604,1,1,0.04859987041303791,0.3346720279589647,0.6167281016279982
1789449250.8257573,TIGHTLY_COUPLED,0.5754845398413018,0.6675286199810521,-0.2872539724732955,0.018677059504884897,-0.02257481554473725,0.4401590782059471,0.8974416588415446,0.6890246664769608,0.5265168900829751,-0.031436729027141175,101,0.5880782700199568,0.6698090841126748,-0.28481128095738095,1,1,0.053401040747643305,0.2909775640966469,0.65562139515571
1789449250.9354959,TIGHTLY_COUPLED,0.5747932676723335,0.66682997428914,-0.2875024213213828,0.018649458034797953,-0.022534775966196914,0.44021509355803057,0.8974157637298644,0.6890271769642999,0.5265204903153684,-0.03143689155756596,101,0.5931484839840784,0.6694580408208933,-0.28507794843850237,1,1,0.04402500704809385,0.30588229154245317,0.6500927014094531
1789449251.0461385,TIGHTLY_COUPLED,0.57569523172561,0.6678440951438325,-0.28714124246596656,0.018672384127165362,-0.022541237200559738,0.4401352178960849,0.8974543022706178,0.6890297390017779,0.5265241644752158,-0.03143705742564278,101,0.5937896791915229,0.6695624205785918,-0.28500643438405215,1,1,0.046760099585424916,0.32666668092743306,0.6265732194871421
1789449251.1549916,TIGHTLY_COUPLED,0.5746487603831812,0.6672286226814862,-0.2865937303376652,0.018714357537572154,-0.022529102105496263,0.44020366323918564,0.8974201620484564,0.6890321732322419,0.5265276553504624,-0.03143721501965297,101,0.5948901597543589,0.6702995561047146,-0.28532349746269153,1,1,0.05146632025241704,0.30690291383408413,0.641630765913499
