time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z
1789539837.856345,LIDAR_ONLY,0.2988350548090919,0.48189053991356534,-0.3224715772282793,0.017847602357280914,-0.014579833382454362,0.42500766814075475,0.9048963330515791,0.684855087575126,0.4953997837750594,-0.0303194925197146,124,,,
1789539837.938365,LIDAR_ONLY,0.2967871546699878,0.48282208113716807,-0.32346744059423316,0.01788466866778811,-0.01461629218878599,0.4250369658707367,0.9048812520285154,0.6848564798246484,0.4954014850262587,-0.03031957264289914,125,,,
1789539838.050237,LIDAR_ONLY,0.29665904981959795,0.4838638958031882,-0.3239622674683708,0.01785863446377219,-0.014611736786095599,0.425036547549885,0.9048820362732689,0.6848583364264692,0.495403753692488,-0.030319679489808946,125,0.2967871546699878,0.48282208113716807,-0.32346744059423316
1789539838.1632366,LIDAR_ONLY,0.2959651719613715,0.48419030892040565,-0.32434969876928227,0.017909419939422834,-0.0146001879360926,0.4250416950229204,0.9048788011008474,0.6848601933351961,0.4954060227365213,-0.03031978635496091,125,0.2902322831174716,0.48333337525720355,-0.3244094259790285
1789539838.2736118,LIDAR_ONLY,0.29526330669609874,0.4847188330277776,-0.3249185784149077,0.017905327986239707,-0.014641216699395505,0.42505453598584575,0.9048721873508567,0.6848620691238001,0.4954083148535755,-0.030319894307236632,125,0.2930168290463168,0.48304510739241696,-0.3249301776827812
1789539838.385464,LIDAR_ONLY,0.29423005603188385,0.4850546851402786,-0.3250952707232402,0.017951340894599235,-0.014637979686617139,0.42505264946166016,0.9048722142360229,0.6848638894937701,0.4954105392546046,-0.03031999907071211,125,0.29229045180936586,0.48453206769683277,-0.3254458382231078
1789539838.4935663,LIDAR_ONLY,0.29568194669310266,0.48548795892922747,-0.32563504012050365,0.017967085988982796,-0.014642698092392707,0.42503999425445993,0.904877769921335,0.6848657658956084,0.495412832126536,-0.030320107059434102,125,0.2950962540696363,0.4840632621741563,-0.32586728456272407
1789539838.6042993,LIDAR_ONLY,0.29448938020351817,0.4854122027907606,-0.3259594190108125,0.01796393899442481,-0.014654882900715559,0.4250595647189219,0.9048684422301021,0.6848676240247682,0.4954151026728932,-0.030320213997119858,125,0.29626184899339414,0.4830160344604462,-0.32651980811352305
1789539838.7150395,LIDAR_ONLY,0.2943613955999789,0.4866032385013575,-0.32656609243809237,0.018035208089702343,-0.014628532046603648,0.4250470240470796,0.9048733417821767,0.6848694824572519,0.4954173735926251,-0.03032032095283113,125,0.2951520219796083,0.4836847498675886,-0.3270968640013693
1789539838.822853,LIDAR_ONLY,0.2947031471492816,0.485605958151427,-0.32710470761934946,0.018010880792009555,-0.014631377714842258,0.4250542206722941,0.9048703998075804,0.6848713411923504,0.49541964488485557,-0.03032042792652511,125,0.2978214466236026,0.48263894619426034,-0.3274048255226474
1789539838.9323947,LIDAR_ONLY,0.29371396825647467,0.48638963171379346,-0.32751402944908903,0.01806498309714639,-0.014626153693335562,0.42506640826461123,0.904863680660718,0.6848732002293583,0.49542191654871154,-0.030320534918159045,125,0.29502918879413065,0.48436493390269997,-0.32816336573377425
1789539839.0386734,LIDAR_ONLY,0.2935803371657147,0.4868685622137753,-0.3277970959922821,0.0180104638482446,-0.014689203260479823,0.4250813140130436,0.9048567438973353,0.6848750595675719,0.4954241885833237,-0.03032064192769044,125,0.2943012949717413,0.4845331466470673,-0.3289334588190087
