time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3,schur_t1,schur_t2,schur_t3,orig_semicircle_degen,orig_l1,orig_l2,orig_l3
1789537384.8828995,TIGHTLY_COUPLED,-3.3410754655776143,18.351862037759926,-64.57329452149925,0.3709175101157385,-0.16742509935135977,-0.9112574696567906,0.06323654632751405,0.2092958420645064,0.1030095124462154,-0.009278931366687004,131,-20.799121285788583,-64.3549628563553,-92.56327958323439,1,1,0.05342115150184753,0.3154132134458956,0.6311656350522565,0.3175043884091607,0.6089753479314749,0.7268699945331792,0,0.3175487040057537,0.6086922425524445,0.7270877350366615
1789537384.9302976,TIGHTLY_COUPLED,-3.3550209164343805,18.368847180929286,-64.57626976039778,0.3695321826911691,-0.16456465222095298,-0.911741833844544,0.07135313316656286,0.2198203048476842,0.10778734651259708,-0.009612990406576094,131,-20.841338500158948,-64.34814892876166,-92.56504100758336,1,1,0.05342115150184753,0.3154132134458956,0.6311656350522565,0.2880382789929184,0.6329734916030115,0.7185948154298708,0,0.2880679144274246,0.6326598732399886,0.7188590692683758
1789537385.029477,TIGHTLY_COUPLED,-3.4326295265317985,18.388183085033113,-64.5834165687042,0.36405505208027183,-0.16095095206449528,-0.9142125063750101,0.07598817850090418,0.23553736747194687,0.115104060521434,-0.010118078418002142,133,-20.841338500158948,-64.34814892876166,-92.56504100758336,0,1,0.06886730705349153,0.319361710414674,0.6117709825318343,0.29113660258414076,0.5980415794502589,0.7467166449761271,0,0.29118410243468046,0.5978466700288655,0.746854187659617
1789537385.1753285,TIGHTLY_COUPLED,-3.5214649951581594,18.39332637659761,-64.58595508308301,0.35930835609056033,-0.15589911045710853,-0.9165227049358768,0.08111167572677068,0.2598948697693321,0.12706500181152539,-0.010921967056028062,142,-20.862686488667723,-64.34630426379383,-92.56508320346607,0,1,0.06886730705349153,0.319361710414674,0.6117709825318343,0.26310243452853416,0.5816684268531613,0.7697005587547191,0,0.2631600815815429,0.581445434310042,0.7698493218688981
1789537385.2966368,TIGHTLY_COUPLED,-3.5669649791688665,18.387413940889008,-64.5931714171571,0.35772635635855143,-0.15267191458981041,-0.9172643844651721,0.08572741366473986,0.2824494699870265,0.13874156821175526,-0.011687398729053632,133,-20.862686488667723,-64.34630426379383,-92.56508320346607,0,1,0.057508257722843216,0.3385838246650575,0.6039079176120993,0.2768037651791981,0.5668759201600606,0.7759068028605651,0,0.2768341227670277,0.5666163571983075,0.7760855444003131
1789537385.422197,TIGHTLY_COUPLED,-3.593893131622952,18.388963343382,-64.5843274845775,0.35804652597667147,-0.14918537181404543,-0.9173889620725463,0.08912857196319217,0.3028599337964048,0.15046235945988456,-0.012420209337272406,134,-20.878409684242623,-64.2528915160861,-92.4354938040544,0,1,0.05039651868301776,0.32020798693809127,0.6293954943788909,0.2575926451785051,0.5350010360296945,0.8046240865131333,0,0.25764652193405513,0.5348323926171842,0.8047189456839342
1789537385.5499654,TIGHTLY_COUPLED,-3.625865586724101,18.381281163292076,-64.59201654069048,0.3567381667961621,-0.14830816720492584,-0.9177807999571227,0.09176584942827712,0.3265815723311596,0.1658331941450269,-0.013329916980687667,126,-20.901186921152622,-64.24346275703866,-92.44191845885454,0,1,0.05656631596435467,0.3313977879285511,0.6120358961070951,0.31821739552922934,0.6061636091040445,0.7289055962060883,0,0.3182589866305011,0.6059814609556238,0.7290388785291319
1789537385.6801093,TIGHTLY_COUPLED,-3.649630392030616,18.379727878565095,-64.59458971577219,0.3560529578733151,-0.1475009742491164,-0.9180198985976016,0.09332319949548529,0.34877961102779814,0.18094028343613242,-0.014204703727126719,143,-20.901186921152622,-64.24346275703866,-92.44191845885454,1,1,0.05656631596435467,0.3313977879285511,0.6120358961070951,0.29759339251607897,0.5999899435784021,0.742596956858535,0,0.29762907402736993,0.5997731330421759,0.7427577823048256
1789537385.7990181,TIGHTLY_COUPLED,-3.6589056361210273,18.39613651252354,-64.59197496478333,0.35528479966062965,-0.14697393115968094,-0.9182205176057657,0.09509182792109744,0.36697348698501775,0.19343054066571208,-0.014917591309523685,141,-20.9407614545978,-64.23848471951064,-92.44349369946977,1,1,0.04822197235791624,0.32053978469113326,0.6312382429509499,0.3034801771321335,0.5739063097453884,0.7606124701332995,0,0.30351948840330195,0.5736210221184164,0.7608119630652643
1789537385.920953,TIGHTLY_COUPLED,-3.675515772285109,18.399642227206748,-64.59361081542647,0.35571015762791297,-0.1458535271099396,-0.9180918504340383,0.09645924816480167,0.3876676005169706,0.20843166151037457,-0.015762117945366944,142,-20.969138644314704,-64.23614677944714,-92.44351557823302,1,1,0.0526656902356465,0.3113409255704463,0.6359933841939068,0.2679168090125072,0.5784412003574794,0.7704715187322333,0,0.2679426626898929,0.578110371832468,0.7707107936770938
1789537386.0615447,TIGHTLY_COUPLED,-3.69296654238288,18.41194698607012,-64.59378230966013,0.35584555003055623,-0.1443668944257173,-0.9178988956144949,0.09996880386908372,0.41201370669012416,0.22473586559725153,-0.01671183435992113,136,-20.969138644314704,-64.23614677944714,-92.44351557823302,1,1,0.0526656902356465,0.3113409255704463,0.6359933841939068,0.288012187016867,0.588245772596685,0.7556559343721787,0,0.2880411835849299,0.587981450654501,0.7558505740192445
1789537386.19215,TIGHTLY_COUPLED,-3.702681533800903,18.4229747765873,-64.59433325993095,0.35599754992590715,-0.14373215817340126,-0.9178064647069766,0.10118351889338997,0.4345407458202882,0.23935479611484825,-0.017574969794170017,143,-21.013047747717163,-64.22893649960554,-92.43524691850638,1,1,0.03827419989266522,0.3277592513171823,0.6339665487901521,0.27627681033643786,0.594888085718832,0.7548372603019193,0,0.27629846679548525,0.5946865938550709,0.7549880875454382
