time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z
1789320739.2421052,LIDAR_ONLY,-0.9324487605243766,0.48531447286579066,-1.1522810189034105,0.035935567060256725,-0.037797297443593086,0.40239694720085323,0.9139784987675871,0.687629786625935,0.49095658895021277,-0.030215366741892714,117,,,
1789320739.3524802,LIDAR_ONLY,-0.9322079678834042,0.48613004483505,-1.1522777781848303,0.03593150426295629,-0.03785045917580606,0.4023996412534819,0.9139752723463862,0.6876300284393841,0.49095686232733576,-0.030215379907148204,117,,,
1789320739.4509084,LIDAR_ONLY,-0.9299276132305331,0.4860170206003778,-1.1527324617047958,0.03597455803736711,-0.03791938254134963,0.4023748502178536,0.9139816363110688,0.6876302507204669,0.49095711362261873,-0.03021539200905944,117,0.05253175450464872,0.4386534859841158,-0.2535316348331694
1789320739.5704038,LIDAR_ONLY,-0.9296260738820737,0.4871768490667181,-1.1533396186485765,0.03600352941309105,-0.03791409589857395,0.4023720197366404,0.9139819609461947,0.6876305194222803,0.49095741739798376,-0.030215406638402567,117,0.051761495434889594,0.43878026177467366,-0.2536336045291521
1789320739.6828423,LIDAR_ONLY,-0.9315628370996684,0.48809709778212906,-1.1538354573861611,0.036042397640682365,-0.037888855803467014,0.40237153602551234,0.9139816886429865,0.6876307685923267,0.49095769909219067,-0.030215420204438632,117,0.05294186971786692,0.43853171488791426,-0.2537255229990339
1789320739.8052516,LIDAR_ONLY,-0.9313244598410847,0.48962806499953265,-1.1542138282271308,0.03607735429074172,-0.03791034011238768,0.4023670233428316,0.9139814052518643,0.6876310397591205,0.49095800565446907,-0.030215434968184143,117,0.054206982416729235,0.4377175883718734,-0.253689106794646
1789320739.91122,LIDAR_ONLY,-0.9306984759067868,0.48802893033312666,-1.1547413621192906,0.036027495168218196,-0.03791414135188193,0.4023758804004791,0.9139793150555394,0.6876312547464765,0.49095824870425664,-0.03021544667329875,117,0.053314061823369605,0.43837971292772804,-0.2536645192136604
1789320740.0073874,LIDAR_ONLY,-0.9305883642437811,0.48740479824283695,-1.1548764902617714,0.03598757123406317,-0.03792005442100453,0.40238364771127183,0.9139772230443998,0.687631472184327,0.4909584945244631,-0.030215458511897407,117,0.05366524186736697,0.43819241308725454,-0.2536120269088655
1789320740.1237473,LIDAR_ONLY,-0.930884601362258,0.4880179875751695,-1.1552160509172793,0.03602478771031875,-0.03792487732135095,0.40238178836175614,0.9139763753759622,0.6876317140622206,0.49095876797496274,-0.03021547168123316,117,0.053561642684332694,0.43794882486886955,-0.25357925232994577
1789320740.239188,LIDAR_ONLY,-0.9313392876053787,0.4890494696919975,-1.1554782843347184,0.036022059486120174,-0.03791000642442405,0.4023806860636804,0.9139775851333557,0.6876319852697158,0.4909590745835787,-0.030215486447550788,117,0.053067930626676404,0.4383542883373797,-0.2535783779577234
1789320740.3375359,LIDAR_ONLY,-0.9312000618379759,0.48921587668635386,-1.155471988114849,0.0360261168785111,-0.038000050314825194,0.40238622116775835,0.9139712490516638,0.6876322051762893,0.49095932319495433,-0.030215498420783603,117,0.05284469393433387,0.4388197967256397,-0.25364094902255807
1789320740.4530528,LIDAR_ONLY,-0.9315981022077017,0.48964455169748383,-1.1558640590958833,0.036020543084508874,-0.03793566177087247,0.40238488455500215,0.9139747319940309,0.687632473961473,0.4909596270652347,-0.030215513055395563,117,0.05332895777375524,0.43826112746326684,-0.25362307847329
1789320740.554074,LIDAR_ONLY,-0.9307302237255558,0.489760448862104,-1.1562474650746464,0.036077969977808266,-0.037978891161224396,0.40237761978918374,0.9139738699772743,0.6876326963288533,0.4909598784587657,-0.030215525162760846,117,0.05308527464097768,0.43820122210176216,-0.25360989338998546
1789320740.6668081,LIDAR_ONLY,-0.9312783165212813,0.4911881324224997,-1.1564840783366486,0.03608342880285926,-0.0380065114453792,0.4023854869136181,0.9139690427880323,0.6876329431414792,0.4909601574885103,-0.03021553860118935,117,0.05311458933814856,0.4382168286987937,-0.25361363870561643
1789320740.7688928,LIDAR_ONLY,-0.9319792061062951,0.4903832042412013,-1.157286181321929,0.03608039799361146,-0.03795818978504884,0.40237583992077464,0.9139754176983734,0.6876331850762056,0.49096043100370246,-0.030215551774106696,117,0.052116623762463093,0.43886715703875523,-0.2536478262314747
1789320740.8846085,LIDAR_ONLY,-0.9328055119538442,0.4908680884602564,-1.1576986303693333,0.03612920017071186,-0.038000178136091314,0.40238150904932213,0.913969249226603,0.6876334514596554,0.4909607321590662,-0.030215566278305198,117,0.05339635986684944,0.43761464766646474,-0.2535958859937917
1789320740.984669,LIDAR_ONLY,-0.9307696461817971,0.48969870185024394,-1.1578309137322336,0.03611723772769699,-0.03801979170477775,0.4023592301454685,0.9139787144646162,0.6876336714178953,0.4909609808292483,-0.030215578254789342,117,0.05316351388184563,0.43818189953542913,-0.2534756822581972
