time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,gt_x,gt_y,gt_z,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3,schur_t1,schur_t2,schur_t3,orig_semicircle_degen,orig_l1,orig_l2,orig_l3
1789542403.2610705,TIGHTLY_COUPLED,-38.68064676057129,-6.790804335704309,-41.502484124439825,0.2464220765312015,-0.21430174295001106,0.19210874811152845,-0.9254432192553249,13.69330699038985,14.188880487815503,-1.16402737407367,113,-47.08572844958778,30.438571053198434,-3.682898174904262,0,1,0.07231557886743116,0.18985513934958811,0.7378292817829807,0.2893892466864019,0.44938318212707695,0.8451678055413725,0,0.2895028814644757,0.44954492556849257,0.8450428637172105
1789542403.2944531,TIGHTLY_COUPLED,-38.69886559520908,-6.78546295091381,-41.502383513257996,0.24650090838667893,-0.21423740818988504,0.1920554346959533,-0.9254481860700636,13.689519340465592,14.192139000744595,-1.1640802732083,113,-47.08572844958778,30.438571053198434,-3.682898174904262,0,1,0.07231557886743116,0.18985513934958811,0.7378292817829807,0.2993058657966293,0.4403798464336614,0.8464523551593409,0,0.29951915025004905,0.4406201897209415,0.8462518106590791
1789542403.3532171,TIGHTLY_COUPLED,-38.722362603377135,-6.77634223784231,-41.50369285470444,0.24643455726278884,-0.21411188933632225,0.19185742087270977,-0.9255359733082209,13.684598635823244,14.196380030582395,-1.1641496965545748,113,-47.051063938352534,30.417377053319065,-3.704526436032467,0,1,0.0583094922116213,0.20306648395031762,0.7386240238380601,0.2931882641927164,0.43883703920029143,0.849389601281758,0,0.2933571660575456,0.4390291683056207,0.8492319839122645
1789542403.4024794,TIGHTLY_COUPLED,-38.7460849212367,-6.766666206769798,-41.50441190675714,0.24646537551968287,-0.2141030535469566,0.19177034539166543,-0.925547857087991,13.681948677722007,14.19866487856019,-1.164187292960051,103,-47.051063938352534,30.417377053319065,-3.704526436032467,0,1,0.0583094922116213,0.20306648395031762,0.7386240238380601,0.2964777587603715,0.4524555572510963,0.8410617737556658,0,0.29672037940808,0.45275544348073654,0.8408147981823861
1789542403.4515061,TIGHTLY_COUPLED,-38.771520713653835,-6.756663822696633,-41.5047855308737,0.24649502612687843,-0.21408159622106263,0.19171667119309937,-0.9255560438140894,13.676270769216524,14.203564894460765,-1.1642686368557702,103,-47.051063938352534,30.417377053319065,-3.704526436032467,0,1,0.0583094922116213,0.20306648395031762,0.7386240238380601,0.2854245042991339,0.4364200137924114,0.8532704283561134,0,0.285585212084231,0.4365949042945438,0.8531271746831435
1789542403.5034888,TIGHTLY_COUPLED,-38.797004447248526,-6.747082391311568,-41.50515884727511,0.2465065776583502,-0.21403752227819559,0.19173518451654764,-0.9255593256223958,13.668320108076195,14.21042643620259,-1.1643836197178832,103,-47.051063938352534,30.417377053319065,-3.704526436032467,0,1,0.0583094922116213,0.20306648395031762,0.7386240238380601,0.2726031977452439,0.447766279064595,0.8515825596568511,0,0.2727350718926559,0.44795555192251824,0.8514407813004379
1789542403.5466807,TIGHTLY_COUPLED,-38.81918765662463,-6.7384731839477725,-41.50379498881561,0.24675793733128687,-0.21407593363617886,0.19175110898552133,-0.9254801603517117,13.665478818239116,14.212874172748556,-1.16442472077852,103,-47.051063938352534,30.417377053319065,-3.704526436032467,1,1,0.04283404826160504,0.19651450833615544,0.7606514434022387,0.2770963839783995,0.44713707597950575,0.8504622444709659,0,0.2772499180870888,0.4473403763283729,0.8503052808415883
1789542403.6151714,TIGHTLY_COUPLED,-38.843867115045924,-6.731959986672393,-41.50493894619843,0.24677930979569043,-0.21401339907557504,0.19168168013739006,-0.9255033067323902,13.658656585706996,14.218744892687603,-1.1645232556651175,97,-47.051063938352534,30.417377053319065,-3.704526436032467,0,1,0.04283404826160504,0.19651450833615544,0.7606514434022387,0.2745757153683936,0.4306127028397964,0.8597562891208997,0,0.2747580979093444,0.4308674762478905,0.859570361020558
1789542403.650932,TIGHTLY_COUPLED,-38.864124126453355,-6.724075911448968,-41.50491470320398,0.24681642576466675,-0.21404294763845141,0.19145539498363645,-0.9255334139136511,13.652209123360569,14.224284390446499,-1.1646161204689882,97,-47.049839718256734,30.418802485503154,-3.70897492215838,0,1,0.04283404826160504,0.19651450833615544,0.7606514434022387,0.27339480947073724,0.42745995721428853,0.8617036979918433,0,0.27355048355517714,0.42767968015149294,0.8615452536763495
1789542403.7843819,TIGHTLY_COUPLED,-38.91266885335316,-6.705206637329782,-41.50615043634143,0.24676169750936378,-0.21393662625026694,0.1911753731404104,-0.9256304669227218,13.63645364773545,14.237795286115645,-1.164839524227993,93,-47.049839718256734,30.418802485503154,-3.70897492215838,0,1,0.0504791981506727,0.18862855269360052,0.7608922491557261,0.2808520599716326,0.4212455015584774,0.8623655534785913,0,0.2809441015755072,0.4213465670417785,0.8622861950837664
